Retrieving MadGraph info.
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try2_44/unweighted_events.lhe: 50000 events, weight = 0.00024544, XS = 3.2996
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try2_33/unweighted_events.lhe: 50000 events, weight = 0.0002457, XS = 3.3112
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try2_39/unweighted_events.lhe: 50000 events, weight = 0.00024538, XS = 3.3232
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try3_18/unweighted_events.lhe: 50000 events, weight = 0.00024564, XS = 3.3286
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try3_12/unweighted_events.lhe: 50000 events, weight = 0.00024578, XS = 3.2976
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try3_20/unweighted_events.lhe: 50000 events, weight = 0.00024556, XS = 3.2934
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try2_20/unweighted_events.lhe: 50000 events, weight = 0.00024564, XS = 3.3154
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try2_18/unweighted_events.lhe: 50000 events, weight = 0.00024546, XS = 3.2915
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try2_12/unweighted_events.lhe: 50000 events, weight = 0.00024528, XS = 3.2909
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try2_1/unweighted_events.lhe: 50000 events, weight = 0.00024588, XS = 3.3175
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try3_33/unweighted_events.lhe: 50000 events, weight = 0.00024524, XS = 3.2863
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try3_44/unweighted_events.lhe: 50000 events, weight = 0.00024508, XS = 3.2749
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try3_39/unweighted_events.lhe: 50000 events, weight = 0.00024508, XS = 3.2965
File /home/fynu/swertz/scratch/Madgraph/madgraph_TopEffTh/TTbar_2j_TopEffTh_OG_NPleq2_QED1_MEdecay/Events/try3_6/unweighted_events.lhe: 50000 events, weight = 0.00024508, XS = 3.3097

## Summary ##

Production cross section:  3.300001
Production event weight:  0,00000245386399999999765315526409348301228874333901
Production nEvents:        5000000
